Time(sec),Heel(mA),Heel - STATUS,Heel Temp(uA),Heel Temp - STATUS,Trim(mA),Trim - STATUS,Trim Temp(uA),Trim Temp - STATUS,Barametric Pressure(mbars),Barametric Pressure - STATUS,Air Temperature(degF),Air Temperature - STATUS,Relative Humidity(%RH),Relative Humidity - STATUS
0,0.0068131,0xCC,300.3340298,0xCC,0.0021358,0xCC,300.3438279,0xCC,1016.727588,0xCC,65.49594832,0xCC,48.68938188,0xCC
0.25,0.0082828,0xCC,300.3340298,0xCC,0.0020719,0xCC,300.3847672,0xCC,1016.727588,0xCC,65.51130728,0xCC,48.66640335,0xCC
0.5,0.0091774,0xCC,300.3340298,0xCC,0.0020932,0xCC,300.3438279,0xCC,1016.727588,0xCC,65.49594832,0xCC,48.64342482,0xCC
0.75,0.0097312,0xCC,300.3340298,0xCC,0.0020932,0xCC,300.3233583,0xCC,1016.727588,0xCC,65.4652304,0xCC,48.63576531,0xCC
1,0.0096247,0xCC,300.3340298,0xCC,0.002221,0xCC,300.3233583,0xCC,1016.727588,0xCC,65.49594832,0xCC,48.63576531,0xCC
1.25,0.0091774,0x00,300.3340298,0xCC,0.0026257,0xCC,300.3847672,0xCC,1016.727588,0xCC,65.4652304,0xCC,48.64342482,0xCC
1.5,0.0083893,0xCC,300.3340298,0xCC,0.0032221,0xCC,300.3438279,0xCC,1016.727588,0xCC,65.4652304,0xCC,48.63576531,0xCC
1.75,0.0072391,0xCC,300.3544764,0xCC,0.0041167,0xCC,300.3438279,0xCC,1016.727588,0xCC,65.49594832,0xCC,48.62044629,0xCC
2,0.0061741,0xCC,300.3544764,0xCC,0.0050965,0x00,300.3233583,0x00,1016.709376,0x00,65.49594832,0xCC,48.62044629,0xCC
2.25,0.0050878,0xCC,300.3135832,0xCC,0.0062467,0xCC,300.3233583,0xCC,1016.709376,0xCC,65.4652304,0xCC,48.62044629,0xCC
2.5,0.0043636,0xCC,300.3340298,0xCC,0.0074821,0xCC,300.3233583,0xCC,1016.7458,0xCC,65.51130728,0xCC,48.62044629,0xCC
2.75,0.0039163,0xCC,300.3135832,0xCC,0.0086962,0xCC,300.3438279,0xCC,1016.727588,0xCC,65.49594832,0xCC,48.63576531,0xCC
3,0.0036607,0xCC,300.3544764,0xCC,0.0096973,0xCC,300.3438279,0xCC,1016.7458,0xCC,65.49594832,0xCC,48.63576531,0xCC
3.25,0.0036394,0xCC,300.3340298,0x00,0.0103789,0xCC,300.3233583,0xCC,1016.727588,0xCC,65.49594832,0xCC,48.60512727,0xCC
3.5,0.0039376,0xCC,300.3340298,0x00,0.0108688,0xCC,300.3438279,0xCC,1016.709376,0xCC,65.4652304,0xCC,48.60512727,0xCC
3.75,0.004321,0xCC,300.3340298,0x00,0.0109753,0xCC,300.3847672,0xCC,1016.727588,0xCC,65.49594832,0xCC,48.6281058,0xCC
4,0.00496,0xCC,300.3340298,0x00,0.0108688,0xCC,300.3438279,0xCC,1016.727588,0xCC,65.4652304,0xCC,48.62044629,0xCC
4.25,0.0052156,0xCC,300.3340298,0x00,0.0104428,0xCC,300.3438279,0xCC,1016.709376,0xCC,65.4652304,0xCC,48.62044629,0xCC
4.5,0.0053221,0xCC,300.3340298,0xCC,0.009463,0xCC,300.3233583,0xCC,1016.691164,0xCC,65.4652304,0xCC,48.62044629,0xCC
4.75,0.005173,0xCC,300.3340298,0xCC,0.0082915,0xCC,300.3438279,0xCC,1016.727588,0xCC,65.52666624,0xCC,48.6281058,0xCC
5,0.0047896,0xCC,300.3340298,0xCC,0.0068005,0xCC,300.3438279,0xCC,1016.709376,0xCC,65.51130728,0xCC,48.63576531,0xCC
5.25,0.0045127,0xCC,300.3340298,0xCC,0.005629,0xCC,300.3438279,0xCC,1016.709376,0xCC,65.49594832,0xCC,48.6281058,0xCC
5.5,0.0040654,0xCC,300.3340298,0xCC,0.0044575,0xCC,300.3438279,0xCC,1016.709376,0xCC,65.4652304,0xCC,48.6281058,0xCC
5.75,0.0040015,0xCC,300.3544764,0xCC,0.0037333,0xCC,300.3847672,0xCC,1016.709376,0xCC,65.49594832,0xCC,48.62044629,0xCC
6,0.0042145,0xCC,300.3340298,0xCC,0.0034351,0xCC,300.3847672,0xCC,1016.709376,0xCC,65.49594832,0xCC,48.60512727,0xCC
6.25,0.0044488,0xCC,300.3340298,0xCC,0.0036055,0xCC,300.3438279,0x00,1016.727588,0xCC,65.49594832,0xCC,48.62044629,0xCC
6.5,0.0048961,0xCC,300.3340298,0xCC,0.0042019,0xCC,300.3847672,0xCC,1016.727588,0xCC,65.49594832,0xCC,48.60512727,0xCC
